,contract_id,loan_amount,term,utm_source,interestrate,age,gender,disbursed_date,disbursed_month,created_year,created_month,created_week,created_date,status_name,age_bin,score_bin,score,loan_amount_bin,emi_bin,emi,emi_total_bin,emi_total,dti_bin,dti,dti_total_bin,dti_total,segment,customer_type,medium,residual_income,residual_income_bin,vc_score,vc_score_bin,rank_group,customer_created_at,log_step_created_at,province,current_province,product_code,partner_score_band,vc_pre_score,customer_segment,approve_limit,approve_limit_bin,created_at,created_hour,nfc_status,last_medium,is_new_customer,file_source
count,56278,56278.0,56278.0,56278,56278.0,56278.0,56278.0,56278,56278.0,56278.0,56278.0,56278,56278.0,56278,56278,56278,56278.0,56278,56278,56278.0,56278,56278.0,56278,56278.0,56278,56278.0,56278,56278,0.0,56278.0,56278,56277.0,56277,56277,0.0,0.0,56278,56278,0.0,0.0,56277.0,0.0,55592.0,55591,56278,56278.0,56278,0.0,0.0,56278.0
unique,56278,,,1,,,,90,,,,14,,2,8,8,,11,3,,5,,2,,5,,1,2,,,5,,6,6,,,63,63,,,,,,7,55959,,1,,,
top,VM03302422617,,,VTMN,,,,2026-01-17 00:00:00,,,,2026-03-16,,APPROVED,2. 21 - 25,v3. 738-771,,02. 6tr - 10tr,2. 1tr - 2tr,,1. <1tr,,1. <= 25%,,1. <= 25%,,25-11-1-04,existing,,,5. >= 10tr,,v2.0. 739-759,C,,,Hà Nội,Hà Nội,,,,,,6. 100%,2026-01-13 14:56:40,,non_nfc,,,
freq,1,,,56278,,,,1159,,,,5782,,56274,18015,14956,,21472,29326,,55379,,50655,,49855,,56278,32264,,,32244,,20858,20858,,,5717,7813,,,,,,19499,3,,56278,,,
mean,,17945769.21710082,10.96190340808131,,53.27774618856392,27.319538718504567,0.2976118554319628,,202602.04340950283,2025.9999466932015,202602.03850527736,,20260219.603486266,,,,728.852126941256,,,2009712.854045986,,2959930.0618181173,,15.041470457903195,,18.830636928528453,,,,12714392.63518604,,764.8514668514669,,,,,,,,,761.5452316221547,,29611188.606274284,,,20260219735649.1,,,,3.6077330395536444
std,,10123894.876287777,2.93463545221992,,9.812367633864655,7.092867651874322,0.45721193488911815,,0.8387075555986622,0.007301020747152408,1.065656998753537,,106.19369448329284,,,,13.014090485844529,,,732546.5317626006,,53166411.454217404,,7.04070365045485,,90.99528486367907,,,,53607999.460064165,,25.268163519121085,,,,,,,,,20.96027457497776,,13199123.633105379,,,106193330.11065838,,,,1.6902606036902241
min,,9000000.0,9.0,,39.0,18.0,0.0,,202601.0,2025.0,202512.0,,20251231.0,,,,704.0,,,1122000.0,,1122000.0,,1.183,,1.183,,,,-11944818193.0,,687.0,,,,,,,,,710.0,,0.0,,,20251231220000.0,,,,1.0
25%,,10000000.0,9.0,,42.0,22.0,0.0,,202601.0,2026.0,202601.0,,20260125.0,,,,719.0,,,1314000.0,,1316000.0,,10.01,,10.188235294117646,,,,7890000.0,,747.0,,,,,,,,,745.0,,20000000.0,,,20260125100000.0,,,,2.0
50%,,15000000.0,9.0,,54.0,26.0,0.0,,202602.0,2026.0,202602.0,,20260213.0,,,,729.0,,,1823000.0,,1910000.0,,13.86,,14.066666666666666,,,,11360000.0,,764.0,,,,,,,,,759.0,,30000000.0,,,20260213160000.0,,,,3.0
75%,,20000000.0,12.0,,60.0,32.0,1.0,,202603.0,2026.0,202603.0,,20260312.0,,,,738.0,,,2662250.0,,2669000.0,,18.195,,18.45,,,,15367500.0,,782.0,,,,,,,,,776.0,,40000000.0,,,20260312040000.0,,,,5.0
max,,60000000.0,24.0,,72.0,54.0,1.0,,202603.0,2026.0,202603.0,,20260331.0,,,,769.0,,,3854000.0,,12024818193.0,,47.3875,,15031.02274125,,,,98817000.0,,864.0,,,,,,,,,863.0,,60000000.0,,,20260331220000.0,,,,6.0
